MONTH,TOKEN_SYMBOL,MONTHLY_DEPOSITS,MONTHLY_DEPOSITED_USD
2025-10-01T00:00:00.000Z,USDC,146175,7475934940.95
2025-10-01T00:00:00.000Z,USDT,16156,1146450646.13
2025-10-01T00:00:00.000Z,DAI,384,1019653802.47
2025-10-01T00:00:00.000Z,USDe,332,125323855.52
2025-10-01T00:00:00.000Z,PYUSD,161,77177276.78
2025-10-01T00:00:00.000Z,USDS,235,38507662.83
2025-10-01T00:00:00.000Z,USDt,1928,30261533.74
2025-10-01T00:00:00.000Z,GHO,1728,23788590.01
2025-10-01T00:00:00.000Z,FDUSD,10,2476.61
2025-09-01T00:00:00.000Z,USDC,801581,53450139066.16
2025-09-01T00:00:00.000Z,USDT,183929,12502976148.18
2025-09-01T00:00:00.000Z,DAI,3202,3161081382.14
2025-09-01T00:00:00.000Z,USDe,6022,1608795970.26
2025-09-01T00:00:00.000Z,USDS,2299,1236379497.92
2025-09-01T00:00:00.000Z,PYUSD,1504,444069765.1
2025-09-01T00:00:00.000Z,GHO,10129,332307884.52
2025-09-01T00:00:00.000Z,USDt,17438,255580218.74
2025-09-01T00:00:00.000Z,FDUSD,261,16503122.73
2025-09-01T00:00:00.000Z,FRAX,3,18142.51
2025-08-01T00:00:00.000Z,USDC,789229,63846707484.76
2025-08-01T00:00:00.000Z,USDT,178931,11939868109.67
2025-08-01T00:00:00.000Z,DAI,3857,7982442533.78
2025-08-01T00:00:00.000Z,USDe,7211,1905763758.27
2025-08-01T00:00:00.000Z,USDS,2204,1464815829.82
2025-08-01T00:00:00.000Z,USDt,20908,328814869.06
2025-08-01T00:00:00.000Z,GHO,8295,89200291.27
2025-08-01T00:00:00.000Z,PYUSD,204,82268538.45
2025-08-01T00:00:00.000Z,FDUSD,377,61663073.38
2025-08-01T00:00:00.000Z,FRAX,12,233.4
2025-07-01T00:00:00.000Z,USDC,510763,46147595081.96
2025-07-01T00:00:00.000Z,DAI,4712,39194746845.58
2025-07-01T00:00:00.000Z,USDT,247982,9910381739.7
2025-07-01T00:00:00.000Z,USDe,2940,2787035037.71
2025-07-01T00:00:00.000Z,USDS,3531,1763311575.59
2025-07-01T00:00:00.000Z,GHO,3616,280677617.74
2025-07-01T00:00:00.000Z,USDt,9780,177599833.39
2025-07-01T00:00:00.000Z,FDUSD,384,31505974.46
2025-07-01T00:00:00.000Z,PYUSD,70,8568632.43
2025-07-01T00:00:00.000Z,FRAX,29,115.97
2025-06-01T00:00:00.000Z,USDC,428144,74158912347.58
2025-06-01T00:00:00.000Z,DAI,34452,64352189220.46
2025-06-01T00:00:00.000Z,USDT,248087,8949125826.43
2025-06-01T00:00:00.000Z,USDe,730,1590584391.28
2025-06-01T00:00:00.000Z,USDS,1817,812838141.2
2025-06-01T00:00:00.000Z,USDt,3205,92109588.54
2025-06-01T00:00:00.000Z,GHO,9695,22793357.71
2025-06-01T00:00:00.000Z,FDUSD,317,14432253.97
2025-06-01T00:00:00.000Z,PYUSD,55,3562702.64
2025-06-01T00:00:00.000Z,FRAX,27,8.65
2025-05-01T00:00:00.000Z,USDC,394751,77105994510.15
2025-05-01T00:00:00.000Z,DAI,44326,68490318358.39
2025-05-01T00:00:00.000Z,USDT,190354,6900993241.57
2025-05-01T00:00:00.000Z,USDS,1998,1142752432.62
2025-05-01T00:00:00.000Z,USDe,597,411099091.77
2025-05-01T00:00:00.000Z,USDt,3957,116731700.64
2025-05-01T00:00:00.000Z,FDUSD,858,71819735.01
2025-05-01T00:00:00.000Z,GHO,3797,65297514.69
2025-05-01T00:00:00.000Z,PYUSD,130,14776009.49
2025-05-01T00:00:00.000Z,FRAX,65,132911.7
2025-04-01T00:00:00.000Z,USDC,340969,78674737263.64
2025-04-01T00:00:00.000Z,DAI,43478,38960171120.76
2025-04-01T00:00:00.000Z,USDT,168287,7921723795.75
2025-04-01T00:00:00.000Z,USDS,1858,2802385061.67
2025-04-01T00:00:00.000Z,USDe,336,531358656.63
2025-04-01T00:00:00.000Z,USDt,3185,138942608.16
2025-04-01T00:00:00.000Z,FDUSD,1063,81080372.76
2025-04-01T00:00:00.000Z,PYUSD,176,44847320.98
2025-04-01T00:00:00.000Z,GHO,3243,19874328.24
2025-04-01T00:00:00.000Z,FRAX,68,48021.5
2025-03-01T00:00:00.000Z,USDC,281618,56105711558.17
2025-03-01T00:00:00.000Z,DAI,32483,34391952806.43
2025-03-01T00:00:00.000Z,USDT,146764,6101105797
2025-03-01T00:00:00.000Z,USDS,3716,3180110170.57
2025-03-01T00:00:00.000Z,FDUSD,2056,183310848.26
2025-03-01T00:00:00.000Z,USDt,1743,160809445.5
2025-03-01T00:00:00.000Z,USDe,338,92200794.26
2025-03-01T00:00:00.000Z,PYUSD,254,36136695.06
2025-03-01T00:00:00.000Z,GHO,1273,10936850.16
2025-03-01T00:00:00.000Z,FRAX,69,79850.66
2025-02-01T00:00:00.000Z,USDC,261965,30959053368.69
2025-02-01T00:00:00.000Z,DAI,33554,20311544178.1
2025-02-01T00:00:00.000Z,USDT,127862,8136723798.29
2025-02-01T00:00:00.000Z,USDS,1879,1382853790.55
2025-02-01T00:00:00.000Z,USDt,2271,210433812.28
2025-02-01T00:00:00.000Z,USDe,220,100709048.8
2025-02-01T00:00:00.000Z,FDUSD,920,84719099.23
2025-02-01T00:00:00.000Z,PYUSD,268,27200479.55
2025-02-01T00:00:00.000Z,GHO,1262,5440600.83
2025-02-01T00:00:00.000Z,FRAX,68,55577.61
2025-01-01T00:00:00.000Z,USDC,269542,40753415121.19
2025-01-01T00:00:00.000Z,DAI,37564,12600192624.57
2025-01-01T00:00:00.000Z,USDT,121530,8225733944.04
2025-01-01T00:00:00.000Z,USDt,2977,316506114.52
2025-01-01T00:00:00.000Z,USDS,349,192256090.16
2025-01-01T00:00:00.000Z,FDUSD,965,88141177.19
2025-01-01T00:00:00.000Z,USDe,97,25080886.72
2025-01-01T00:00:00.000Z,PYUSD,102,9074489.32
2025-01-01T00:00:00.000Z,GHO,445,1541331.45
2025-01-01T00:00:00.000Z,FRAX,112,288432.76
2024-12-01T00:00:00.000Z,USDC,233722,18354033059.5
2024-12-01T00:00:00.000Z,DAI,20756,11612988038.08
2024-12-01T00:00:00.000Z,USDT,125378,6297122063.91
2024-12-01T00:00:00.000Z,USDS,574,808432831.1
2024-12-01T00:00:00.000Z,USDt,3795,442603824.22
2024-12-01T00:00:00.000Z,FDUSD,2634,145568578.71
2024-12-01T00:00:00.000Z,USDe,157,38052684
2024-12-01T00:00:00.000Z,PYUSD,172,24768743.17
2024-12-01T00:00:00.000Z,GHO,741,1949203.22
2024-12-01T00:00:00.000Z,FRAX,218,1504228.13
2024-11-01T00:00:00.000Z,DAI,11688,19727038859.21
2024-11-01T00:00:00.000Z,USDC,206079,14674413342.17
2024-11-01T00:00:00.000Z,USDT,96987,4519936531.56
2024-11-01T00:00:00.000Z,USDS,580,1097466155.77
2024-11-01T00:00:00.000Z,USDt,3537,411980276.56
2024-11-01T00:00:00.000Z,FDUSD,1097,96446877.27
2024-11-01T00:00:00.000Z,USDe,46,16514961.7
2024-11-01T00:00:00.000Z,GHO,1224,8425638.85
2024-11-01T00:00:00.000Z,PYUSD,90,7899629.28
2024-11-01T00:00:00.000Z,FRAX,209,736736.93
2024-10-01T00:00:00.000Z,DAI,9213,21770408066.95
2024-10-01T00:00:00.000Z,USDC,159290,14789674271.49
2024-10-01T00:00:00.000Z,USDT,62111,2669520866.09
2024-10-01T00:00:00.000Z,USDt,3672,466932127.87
2024-10-01T00:00:00.000Z,USDS,364,334262607.15
2024-10-01T00:00:00.000Z,FDUSD,921,105397911.78
2024-10-01T00:00:00.000Z,GHO,3321,61330387.77
2024-10-01T00:00:00.000Z,USDe,99,24564790.25
2024-10-01T00:00:00.000Z,PYUSD,180,3320297.35
2024-10-01T00:00:00.000Z,FRAX,428,888789.16
2024-09-01T00:00:00.000Z,DAI,10676,44610685989.21
2024-09-01T00:00:00.000Z,USDC,139941,7204649610.45
2024-09-01T00:00:00.000Z,USDT,57885,2878107139.22
2024-09-01T00:00:00.000Z,USDt,6512,255267998
2024-09-01T00:00:00.000Z,FDUSD,1051,190392015.02
2024-09-01T00:00:00.000Z,USDe,621,92377497.59
2024-09-01T00:00:00.000Z,GHO,2250,29656889.09
2024-09-01T00:00:00.000Z,PYUSD,90,7653803.52
2024-09-01T00:00:00.000Z,FRAX,370,1933171.8
2024-09-01T00:00:00.000Z,USDS,1,1.02
2024-08-01T00:00:00.000Z,DAI,59564,100958189236.98
2024-08-01T00:00:00.000Z,USDC,183583,6216790063.64
2024-08-01T00:00:00.000Z,USDT,68279,3181955960.31
2024-08-01T00:00:00.000Z,USDt,3592,150710689.97
2024-08-01T00:00:00.000Z,FDUSD,1210,84768535.97
2024-08-01T00:00:00.000Z,USDe,402,60512420.12
2024-08-01T00:00:00.000Z,GHO,967,10976283.8
2024-08-01T00:00:00.000Z,PYUSD,82,9426859.33
2024-08-01T00:00:00.000Z,FRAX,218,724568.61
2024-07-01T00:00:00.000Z,DAI,49064,71059573351.3
2024-07-01T00:00:00.000Z,USDC,182817,5198857218.82
2024-07-01T00:00:00.000Z,USDT,99454,3270281272.53
2024-07-01T00:00:00.000Z,USDt,3774,90947692.18
2024-07-01T00:00:00.000Z,USDe,67,25344433.6
2024-07-01T00:00:00.000Z,FDUSD,539,14743255.94
2024-07-01T00:00:00.000Z,PYUSD,236,8217272.41
2024-07-01T00:00:00.000Z,FRAX,178,1129165.21
2024-07-01T00:00:00.000Z,GHO,143,192112.48
2024-06-01T00:00:00.000Z,DAI,71950,51395350037.21
2024-06-01T00:00:00.000Z,USDC,181540,3127505390.13
2024-06-01T00:00:00.000Z,USDT,57719,3098879735.59
2024-06-01T00:00:00.000Z,FDUSD,1435,100429464.65
2024-06-01T00:00:00.000Z,USDe,137,67577300.88
2024-06-01T00:00:00.000Z,USDt,1388,40014090.14
2024-06-01T00:00:00.000Z,PYUSD,120,13597508.2
2024-06-01T00:00:00.000Z,FRAX,190,520344.2
2024-05-01T00:00:00.000Z,DAI,127303,66275424580.15
2024-05-01T00:00:00.000Z,USDC,167057,3615748148.07
2024-05-01T00:00:00.000Z,USDT,56600,2520127032.92
2024-05-01T00:00:00.000Z,FDUSD,659,119111914.62
2024-05-01T00:00:00.000Z,USDt,2028,34967344.41
2024-05-01T00:00:00.000Z,PYUSD,86,20443080.76
2024-05-01T00:00:00.000Z,USDe,128,8020900.05
2024-05-01T00:00:00.000Z,FRAX,130,342421.43
2024-04-01T00:00:00.000Z,DAI,60248,120793797193.68
2024-04-01T00:00:00.000Z,USDC,188811,3340805614.9
2024-04-01T00:00:00.000Z,USDT,67983,3002953776.04
2024-04-01T00:00:00.000Z,FDUSD,3588,219013953.85
2024-04-01T00:00:00.000Z,USDt,2865,56244051.81
2024-04-01T00:00:00.000Z,PYUSD,110,13199081.48
2024-04-01T00:00:00.000Z,FRAX,265,2175689.25
2024-04-01T00:00:00.000Z,USDe,2,59.91
2024-03-01T00:00:00.000Z,DAI,67726,28842010804.64
2024-03-01T00:00:00.000Z,USDC,146216,3991881838.93
2024-03-01T00:00:00.000Z,USDT,107406,3117138503.76
2024-03-01T00:00:00.000Z,FDUSD,3144,138035750.82
2024-03-01T00:00:00.000Z,USDt,2995,75986031.64
2024-03-01T00:00:00.000Z,PYUSD,19,12884674.17
2024-03-01T00:00:00.000Z,FRAX,258,2456963.94
2024-02-01T00:00:00.000Z,DAI,49940,34761271817.1
2024-02-01T00:00:00.000Z,USDC,98715,2182625678.34
2024-02-01T00:00:00.000Z,USDT,48273,1403799512.96
2024-02-01T00:00:00.000Z,FDUSD,1703,75449147.68
2024-02-01T00:00:00.000Z,USDt,1396,20420568.87
2024-02-01T00:00:00.000Z,PYUSD,28,11347479.62
2024-02-01T00:00:00.000Z,FRAX,337,4754051.19
2024-01-01T00:00:00.000Z,DAI,56330,49326752436.67
2024-01-01T00:00:00.000Z,USDC,81521,2338177098.19
2024-01-01T00:00:00.000Z,USDT,1649,1132447478.62
2024-01-01T00:00:00.000Z,FDUSD,1567,60440964.87
2024-01-01T00:00:00.000Z,USDt,1612,45361231.25